title2
“태극기 배경으로 AI 프로필 사진 찍으세요”
"수원 장안구 정자1동, ㈜을지케어로부터 이웃돕기 성금 지원받아"
"성남중원경찰서, 단대오거리서 민관경 합동 순찰"
"영동 그루터기 사회적 협동조합, 마을 빈집 수리로 '지역사회 활력'"
"영동소방서, 전기차 화재진압 훈련 실시"
"평택시의회 국민의힘 의원, 민생회복 추경예산 확보 잰걸음"
"영동군, 청년 맞이 청년정책 기본계획 수립"
"증평군, '충북에서 살아보기' 참여자 모집"
"충북도, 의료비 후불제 확대 시행 다자녀가구 포함"
"한국남동발전, '건강한 여름나기' 무료급식 봉사"
"증평군, 럼피스킨 유입 차단 '총력'"
"인천 남동구, ‘구월3동 안심마을’ 조성 완료"
"석유공사, 산업안전보건공단과 데이터 기반 행정 활성화 업무협약"
"""전기차 불안감 해소""...정부, 아파트 스프링클러 긴급점검"
"[종합] 한화생명, 상반기 신계약 CSM 1조 육박 ""보장성 보험 리크루팅 집중"""
"코오롱FnC 래코드, 코오롱 미래기술원 고려대의료원과 업무협약"
"수자원공사, 녹조 제거 위해 가용자원 총동원"
"경기콘텐츠진흥원, '판교크리에이터스클럽 전시회' 12월까지 운영"
"한국공인회계사회, 21일 ‘제12회 ESG 인증포럼’ 개최"
"아파트서 주차하던 50대, 차량과 기둥 사이에 끼어 중태 무슨 일?"
"일성아이에스 새 도약 준비 소유 경영 분리, AI 도입 등 사업다각화"
미국 제재에도 급속 진화하는 중국 AI기술
원금 보장하고 일정한 수익 상한선 '버퍼 ETF'
"양산시 언덕집 북정점, 돌봄이웃 위해 추어탕 200팩 기탁"
DDP 여름축제 폭염속 3일간 17만명 다녀갔다
"여야, 28일 본회의 소집 비쟁점 민생 법안 처리키로"
'밀양사건' 가해자 신상넘긴 유튜버 아내 구속
"하이원리조트, 대한체육회 소속 선수 대상 프로모션"
경북 지자체 보조금 가로챈 인터넷언론사 대표 집유
"전남도, 김문수 의원의 ‘순천대 공모 참여 촉구‘ 환영"
"한미연 반크, 청년 대상 저출산 고령화 정책 발굴 캠페인"
정년 앞둔 인제대 직원들 “글로컬대학30 선정 기원” 아이스크림 나눔
"'성전환 선수' 패럴림픽 육상 출전 논란 ""불공정"" 반발"
"""어르신의 편의 위해"" 포천시, 2024년 제1회 경로당 운영위원회 개최"
"충북농협, 고향주부모임 클린봉사단 수해지역서 '구슬땀'"
"민주, 尹 잇딴 거부권 행사에 ""연산군에 이은 '용산군'"" 비판"
"농협사료, 19일부터 한우 사료 가격 인하 매월 63억원 절감"
[인물수첩] 신임 심상택 한국수목원정원 관리원 이사장
"농협사료, 19일부터 사료가격 포당 500원 내린다"
"경북 영천시, 성내동 유정숲에 ‘춘향이 그네’ 설치"
‘아리셀 참사 막아라’ 모든 외국인근로자 안전교육 추진
"씨제이대한통운, 인천항 아암물류2단지 내 글로벌 물류센터 조성 추진"
“쇠퇴하는 교회가 사도행전을 통해 배워야할 것”
"'망분리 완화' 금융사 AI가 보이스피싱 잡고, AI 개발한다"
중랑구민 갈증 해소 ‘중랑옹달샘’ 폭염에 연장 운영
"""대전에서도 사용가능?"" 세종시 이응패스 '허점 노출', 혈세 유출 우려"
"혈액 채취 없이 연속혈당측정 영남대병원, 9월부터 AI 기반 GGM 서비스"
"‘550억 건물주’ 이정재, 명품 풀착장 “휴가 선물 감사”"
"손일석 강동경희대병원 교수, 오는 16일 EBS 명의 '최적혈압을 사수하라' 출연"
"성남중원서 금광지구대, 단대오거리역서 범죄예방 민 관 경 합동순찰"
"김덕현 연천군수, 경기북부 상의 연천상공회 월례회의 간담회서 소통 시간 가져"
"이천소방서, 심정지 환자 살린 시민 2명에 하트세이버 수여"
"양주시, '공공디자인 프로젝트' 1차 시범 사업추진"
"경기중기청, 글로벌 무역데이터 AI 플랫폼 활용 바이어 발굴 웨비나 개최"
"동두천시, 2024년 제2회 청소년육성위 임시회의 개최"
"경기대 전국진학지도협, 'KGU 진학지도 역량 강화 컨퍼런스' 프로그램 성료"
"RF시스템즈, LIG넥스원과 사단급 대포병 탐지레이더 공동개발"
"여야, 28일 본회의서 ‘비쟁점 법안’ 처리 합의[이런정치]"
"<신제품 신기술>동아제약, 숙취해소제 ‘모닝케어 프레스온’"
"아시아지원포럼, 20일 국회서 '국립미술관 유치 토론회' 개최"
“구독 1명당 1000원” 약속한 LG직원 1300만원 기부 ‘이렇게’ 성공했다
"영주시, 국회서 '첨단베어링 국가산업단지 사업설명회' 개최"
광복절 맞아 대구 북구 '동화훼밀리타운아파트'서 태극기 '펄럭'
"KT, 중기중앙회와 손잡고 경북지역 중소기업 디지털전환 지원한다"
"성남시, 지방세 상습 체납자 관허사업 제한"
"정태영 부회장 ""金 양궁팀 도시락 그대로 며느리 리디아 고에게 배달"""
인간 유전자의 70% 가진 '제브라피쉬' 암 대사질환 희귀질환 연구에 큰 도움
"'티메프 사태'에 소상공인 44% ""온라인 플랫폼 사용 줄일 것"""
"한국경영기술지도사회, 한국소기업소상공인연합회와 MOU...""경쟁력 강화 위해"""
"국민대, 대학혁신지원사업 성과평가서 교육혁신 부문 ‘최우수’ S등급"
"CJ대한통운, 인천항에 물류센터 조성...아시아 거점 구축"
'전자파 피해 우려' 용인시의원 '건축허가 불허' 성명서 발표
"정부도 기업도 '전기차 포비아' 진화 ""관건은 심리전"""
청주교대 한국교원대 서원대 '2024 교원양성과정 개선 대학 지원 사업'선정
"넷마블, 신작 ‘일곱 개의 대죄 키우기’ 글로벌 출시"
"[Home & Now] 시몬스 침대, '홈 스타일링 페어' 참여 등"
"BTS 진, '푹다행' 출격 무인도 활약 예고"
"폴스타 ""배터리 안전 자신 내년 韓 배터리 적용 검토"""
"현대차 기아, '전기차 불안감 해소' 적극 동참 나서"
손보사 분기 최대 실적 행진 끝날까 시장환경 하향 신호
"SK스퀘어, 2분기 영업익 흑전...하이닉스 실적 개선"
"오스테오닉, 2분기 영업이익 18억 원 전년比 108.3%↑"
"보건의료정보원, 전자의무기록 시스템 2주기 사용인증 시범사업 착수"
"수자원공사, '100인 안전 패트롤'로 재해 막는다"
"정은보 거래소 이사장, KRX 탁구단 임종훈 선수 파리올림픽 동메달 축하"
코스닥 770붕괴
"코스피 2,621.50 마감"
"코스피 소폭 상승하며 2,621.50 마감"
달러/원 환율 소폭 하락속 코스피 소폭 상승마감
"2,620선 안착한 코스피"
"검찰, '尹 명예훼손 혐의' 민주당 前대변인 등 불구속 기소"
"코스피 홀로 상승하며 2,620 안착"
"HMM, 2분기 영업익 6444억 원 운임 상승에 302% 급증"
"0.12% 상승하며 2,621.50 마감한 코스피"
"해양진흥공사-해양교통안전공단, 친환경선 전환 협력 강화"
"코스콤, '코리아 핀테크 위크' 참가...금융업계 AI 도입 향방 제시"
"[속보] 정부, 국내 모든 전기차에 배터리 정보 공개 권고키로"
모든 외국인근로자 산업안전 교육 격벽 등 안전시설 설치 1억 지원...화성 아리셀 산안법 65건 적발
“불안해도 전기차가 미래다” 정면돌파 증시입성 나선 2차전지 기업들
"삼성전기, 임단협 체결 “임금 5.1% 올린다”"
"정부 ""국내 모든 전기차의 배터리 정보 공개 권고"""
“다중감각 기반 스크리닝으로 폐질환 조기 발견”
"파미셀, 2분기 영업익 22억 전년比 289% '↑'"
1만여 세대 재건축 사업 시작하는 서초 방배동... “옛 부촌 명성 되찾을까”
소방관 PTSD 회복 돕는다...'소방심리지원단' 구성 법령 근거 마련
"이어지는 폭염, 얼음정수기 수요 늘어"
김양숙 한샘글로벌 대표이사 “현지화 서비스로 중소기업에서 강소기업으로 발돋움 해”
"이천소방서, 안진선.백승희씨 '하트세이버' 인증"
"충북도, 의료비후불제 수혜대상 두 자녀 이상 다자녀 가구 확대"
"군포의왕교육지원청, '미라클 브레인 성장 학교' 운영"
"텐텍, 태국 ‘ASLS 방콕 2024’ 학회 참가 텐써마 선보여"
전북특별자치도 8개 기관 2024 웰니스 페어서 공동 마케팅 추진
"경기주택도시공사-3M, 과천지구 건설사고 예방 위해 맞손"
‘DNA 러버’ 최시원 “산모와 임산부의 고충 알게 돼”
"충주고용노동지청, 종합예방점검 결과 금품체불 등 111건 적발"
"한수원, 경주시 청년 창업에 2억5천만원 지원"
경주서 제26회 한국경영학회 융합학술대회 열려
"경주시, 광복절 맞아 ‘나라사랑 태극기 달기 운동’ 전개"
"경주엑스포대공원 신라왕경숲,‘아름다운 도시숲 50선’ 선정"
"경주시, 2024년도 고향사랑기부제 고액 기부자 7호 탄생"
서울시복지재단 ‘웰니스 페어’서 사회적 고립 예방 알린다
"공정위, CJ프레시웨이에 '철퇴' ""계열사 대규모 부당 인력지원"""
"[날씨] 끝없는 열대야에 폭염도 강화...서울 36.4℃, 올 최고"
'납품업체에 판촉비 등 강요 혐의' GS리테일 1심 무죄
"""상생은 가장"" 중소상권 우회 침탈 CJ프레시웨이 과징금 245억 원"
"공무원연금공단, 광복절 맞아 ‘태극기 나눔’ 활동 펼쳐"
"무협, “광복절 특별사면 기업인 경영 복귀에 도움”"
[인사] 케이메디허브
"김경수, 선거 출마 길 열렸다 ""사회에 보탬 될 역할 고민"""
김경수 조윤선 복권 정치인 등 1219명 광복절 특별사면
"與 ""野, 권익위 간부 죽음 정쟁 수단 삼지 말라"""
"김경수 복권에 秋 ""대통령 결단 존중"" 韓 ""더 언급 않겠다"""
식약처 '규제 외교'에 주력 의약품 화장품 등 수출 확대 돕는다
"음성 금왕읍, 청렴 토크 콘서트 열어"
"음성군, 럼피스킨 총력대응 재난안전대책본부 가동"
"농협음성군지부, 쌀 소비촉진 캠페인 전개"
"음성군새마을회, 사랑 나눔 장터 수익금 전달"
"한국소비자원, 도공 도로교통연구원과 업무협약 체결"
"음성군, 흥미진진 팩토리투어 '인기'"
"음성 맹동농협 청년부, 사랑의 삼계탕 나눔 행사 전개"
"음성군장애인복지관, 주거환경개선사업 실시"
"명륜진사갈비 청주동남지구점, 용암1동에 성금 기탁"
호법면 주민총회와 함께 문화축제를 즐겨요!
서울양양고속도로 서면터널서 승용차-승합차 추돌 6명 병원 이송
국립수목원-국제식물원보전연맹 업무협약 체결
"IBK, 中企근로자 자녀에 장학금 13.1억원 전달"
'재산 축소 신고 의혹' 민주당 이상식 선거법 위반 검찰 송치
"대구 수성구, 전국 지자체 일자리대상 ‘우수상’ 수상"
<부고> 이석현씨(인천경찰청 5기동대 경감) 빙부상
"공인중개사협회, 새 '부동산 지수' 내놨다 실시간 실거래 반영"
‘놀이터서 골프 연습 등 금지’ 서울시의회서 어린이 놀이시설 안전 확보 위한 조례 발의
"野 법사위원들, '청문회 불출석' 김건희 여사 공수처에 고발"
"김경수 광복절 앞두고 복권 ""사회에 보탬될 역할 고민 더 성찰할 것"""
"10일 된 아기, 차 트렁크서 방치돼 숨져 시신도 유기한 친부모 형량은"
성결대 희귀 고서 및 성경 기증식 개최
"정부, 부동산 PF 정상화 추진...부실 PF 취득세 50% 감면"
'대통령 명예훼손' 봉지욱 뉴스타파 기자 리포액트 대표 기소
"전기차 불안 잠재운다 현대차 기아, 전기차 '안심 점검 서비스' 실시"
"정부, 모든 국내시판 전기차에 '배터리 정보 공개' 권고"
"광주 서구 청소년구정참여단, 국회 견학"
"광주 서구 동천동 지사협, '책과함께 고!고!고!' 성료"
"자총 음성군지회, 4회 설성 글로벌 페스티벌 참가자 모집"
"음성군, 음성청소년어울림센터 개관"
일부 실내 스포츠 테마파크 안전사고 예방조치 미흡
"여야, 28일 본회의 개최 합의 ""비쟁점 법안 신속 처리"""
"음성군장학회, 모교 찾아가는 멘토링 추진"
"기업은행, 中企 근로자 자녀 장학금 13억1000만원 전달"
2024년 말복 삼계탕 가격이 무려 얼마나 올랐나? [그래픽 스토리]
"무한리필집서 봉지에 고기 담아간 男女 ""특수절도죄 해당"""
"옥천전통문화체험관, 여름방학 특별 프로그램 ‘나에게로 떠나는 여행’ 운영"
"옥천읍행정복지센터, 취약계층 여름나기 선풍기 지원"
"청주시의회 이화정 의원, 아동생활시설 문화활동비 지원 간담회 진행"
"충북교육청, 국제 바칼로레아(IB) 성공적 안착 워크숍 진행"
"괴산군, 통합방위 태세 점검 ‘24년 3분기 통합방위협의회 진행"
"강남역에 11억 썼다? 김윤아 ""남편은 페이닥터일 뿐. 관련 없어"""
광주 전동킥보드 최고속도 20㎞ 하향 시범운영
"광주시, 이동노동자 생수나눔 캠페인 전개"
"횡성군, 상수원보호구역 내 불법행위 특별단속 실시"
'지진운'은 대지진 전조? '난카이 지진' 공포에 괴담 확산
"광주시, 15일 ‘제79주년 광복절 경축식’ 개최"
8/14~15 난카이 대지진 발생 예측은 가짜뉴스 '지진주의보' 언제쯤 해제?
"인천 연수구, 올해 말까지 ‘찾아가는 탄소중립 에코스쿨’ 운영"
"강원-인천, 바이오 반도체 분야 초광역 업무협약 체결"
"벤츠, 공분 커지자 뒤늦게 배터리 업체 공개  “모든 전기차 무상점검”"
"""4060 중장년 인재를 찾습니다"" 충북중장년일자리박람회 개최"
32명→247명 ‘껑충’ 경북 코로나 한 달 새 7.7배 늘어
"공수처, ‘이재명 피습현장 물청소’ 부산경찰청장 “혐의없음” 결정"
"'공부하는' 전남도의회, 의정 역량 강화"
"전남도 ""김문수, 순천대 공모 참여 촉구 환영"""
김영록 전남지사 직무평가 '오르락내리락'
제21회 광주 추억의 충장축제 D-50 대국민 발표회
"광주 동구 피망어린이집, 고사리손 모아 기부"
"광주녹소연 , '일회용품 없는 마을' 축제 및 행사 추진"
국민의힘 전남도당 '새판짜기' 완료
'350억원대 하청업체 갑질' GS리테일 1심 무죄
"김동연 지사, 광역단체장 직무수행 긍정평가 전국 1위"
"""광복절 폭주족 꼼짝 마"" 광주 전남 전역 집중 단속"
운전면허 처분 '광복절 특별 감면' 광주 전남 2만4천583명
"보은군, 전국 중 고등학교 육상경기대회 및 초등학교 육상경기대회 마무리"
나이 잊은 ‘탱크’ 최경주 “요즘은 칩핑 퍼팅이 재미있다”
"광양시, '지속가능발전 기본전략 추진계획 수립 용역' 최종보고회"
"이종배 의원, ‘술타기 수법’ 음주운전 처벌 회피 ‘김호중 방지법’ 대표발의"
"이범석 청주시장, 초정치유마을 개장 전 현장점검"
"충북도의회 산업경제위, 가축 폭염 피해 농가 현장 방문"
'백약이 무효' 여수시 인구감소...'인구정책 5개년 기본계획' 12조 투입 청사진
"여수미술관, ‘2024 섬 그리고 섬_거문도 백도’ 전시회"
여수지역 교육시설 주변 금연 구역 30m 확대 시행
"문갑태 여수시의회 부의장, 정치후원금 3천만원 목표액 달성"
"단양군, 제2회 시루섬 예술제 오는 17일 개막"
"옥천군, 지역명품 향수 복숭아 대전시청 판촉행사 성료"
"충북교육도서관, 청주지역 학교도서관 장서점검 지원"
"옥천군, ‘25년 옥천군문화진흥기금 지원사업 간담회 오는 14일 개최"
"단양군, 주택 피해목(木) 및 생활권 지장목(木) 제거사업 추진"
"옥천군, 전용표 청주행정고시학원장 고향사랑기부금 기탁"
"단양군, ‘24 이야기가 있는 코딩 프로그램 수강생 모집"
"나이벡, 주력 제품 해외 판매 호조에 상반기 매출액 전년비 42%↑"
"김해가야테마파크, '올가을 김해관광 대규모 이벤트' 진행"
"여야, 28일 본회의 열기로 간호법 구하라법 등 합의 처리한다"
8월 임시국회 본회의 28일 연다 27일 대통령실 현안질의
"김해문화관광재단 시민스포츠센터, '한여름 워터밤 물총놀이' 실시"
2030년 산업용 친환경 섬유 점유율 10% 도전 섬유패션 강국 재도
"사교육 과열 '초등 의대반' 전국에 퍼졌다 ""교육 불평등 초래"""
"""수도시설 신 증설 없어도 물 많이 쓰면 상수도 원인자부담금 정당"" 대법"
'지자체 보조금' 꿀꺽 포항 전 인터넷언론사 대표 집유
"신한은행 충북본부, 저출생 인구 위기 극복 성금 1천500만 원 기탁"
‘명팔이’ 논란 후폭풍 친명계 비판에 정봉주 “이재명에 대한 애정” 진화 시도
"광명시, 2025년도 본예산 편성 본격화 재정전략회의 개최"
'군포에서 동아시아로' 청소년수련활동인증 획득
"해리스와 트럼프, 경제정책 극명 대조  재계 “플랜 A, B 대비해야”"
"'초등 의대반' 전국 확산 ""초5 때 고2 과정 배우기도"""
"尹대통령 ""건국절 논란, 먹고살기 힘든 국민들에 무슨 도움 되나"""
코로나19 글로벌 재유행 씨젠 등 국내 진단업체들 다시 수혜볼까
"수원 영통구, 동수원새마을금고와 ‘제2회 희망드림 장학금’ 전달식"
"잇그린, 펜타포트 락 페스티벌에 다회용기 27만개 공급"
"코스닥, 외인 기관 순매도에 1% 넘게 하락 ""770선 밑으로"""
[포토뉴스]횡성 우천면지역사회보장협의체 삼계탕 사랑 나눔 훈훈
외국인 근로자 안전퀴즈왕 가린다
무더위엔 얼음정수기지~
축사하는 한동훈 국민의힘 대표
한국기자협회 창립 60주년 기념식
삼일PwC “연말 이후 거시 불확실성 개선 M&A 시장 점진 회복”
"""예매할 때 얼굴 등록"" 안면인식 티켓팅 서비스 등장"
"김태흠 지사, “미래 식량가치 창출...내수면어업 지원” [힘쎈충남 브리핑]"
우리 농협은행 주담대 금리 추가 인상 최대 0.3%p↑
한화생명 상반기 순익 6673억 전년 대비 17.5% 감소
"경기주택도시공사, 과천 공공주택지구 안전문화 정착 '3M과 업무협약'"
"""홍콩 사태 또 오나"" 세계 증시 급등락에 떨고있는 ELS 개미"
철원 김선경 작가 기획전시
스포츠서울 신임 편집국장에 장강훈 스포츠부장
'제2의 아리셀 화재' 막는다 안전 교육 의무화 위험성 평가 강화(종합)
"코오롱FnC 래코드, 코오롱 미래기술원 고려대의료원과 MOU 체결"
4060 중장년 인재 모집 '충북중장년일자리박람회' 연다
"'현장 목소리에 경청하다' 청주시, 아동친화도시 조성 원탁토론회"
안산시민 10명 중 8명 안산선 지하화 통합개발사업 '찬성'
"정희용 의원, 재해위험 대비 정비사업 추진 현황 점검"
"정은보 거래소 이사장, 동메달 획득한 임종훈 선수 격려"
격벽설치 비상구 개선에 최대 1억원 지원...모든 외국인 근로자 안전교육 의무화
"[속보] 정부, 모든 국내시판 전기차에 `배터리 정보 공개` 권고"
이상휘 의원 '진실 화해 과거사정리법' 일부개정안 대표 발의
"에코프로 ""미래 성장동력 마련에 혼연일체"" 이동채 전 회장 사면 환영"
"감사원 ""국토부, 전세보증사고 급증에도 위험 관리 소홀 HUG 재정손실 확대"""
"`수익성 강화` HMM, 2Q 영업익 6444억 전년비 302%↑"
"코스피 홀로 상승하며 2,621.50 마감"
코스닥 7.86포인트 하락하며 770붕괴
달러/원 환율-코스닥 동시 하락한 금융시장
"코스피 0.12% 상승하며 2,621.50 마감"
'폭염 정전 승강기 사고' 대응 훈련 대전소방본부
"G마켓, '신학기 겨냥' 디지털&도서 최대 50만원 할인"
"계명대 계명시민교육원 박물관대학 2학기 역사 문화 아카데미, 민화 주제로 진행된다"
"행복한 부자학회, 영남대서 ‘하기 학술세미나’ 개최"
"여가부, 양육비 채무 불이행자 139명 제재"
"[화보] 희망의빛, 그들을 기리며 위안부 피해자 기림의날 기념식"
"낙태죄 폐지 5년, 입법 부재 현실은 ‘만삭 낙태’"
"카카오게임즈, 오션드라이브 신작 '로스트 아이돌론스' '섹션13' 퍼블리싱 계약"
"안세영, 이달 국제대회 모두 불참 협회에 뜻 전해"
"아리셀 참사 특별감독 했다지만 ‘불법 파견’ 외면, 맹탕 대책만"
‘납품업체에 355억 갑질 혐의’ GS리테일 1심 무죄
"LG화학, 영아용 6가 백신 임상2상 본격화 “국산화 속도”"
GM도 백기 들었다...中사업 대규모 구조조정하기로
25만원법 노란봉투법 재의요구안 국무회의 의결
[전북] 공공기관 에너지 절약 실태 점검...실내 26도 유지 등
'넛크래커' 韓 섬유패션 산업 재도약 추진 시장점유율 10%까지 끌어올린다
"한국지역난방공사, 국민 기부 마라톤 '에너지 히어로 레이스' 연다"
"충북농협, 고향주부모임 클린봉사단 수해지역서 '구슬땀'"
"군산해경, 제79주년 광복절 맞아 서해서 ‘주권 수호’ 다짐"
"보령시, 김태흠 충남도지사와 시 민방위시설 현장 방문"
"수원남부소방, 을지연습 민방위훈련 연계해 '소방차 길 터주기' 실시"
정부 “1000여개 중증 수술 선별 인상” 비급여 과잉진료도 개선
우원식 “광복절 앞두고 분열 독립기념관장 인사권자 尹 결자해지해야”
